shard,protein,base_strand,base_plddt,d_strand_add,d_strand_rand,d_strand_paired,d_helix_add,d_coil_add
strand,Q96P53,0.4675,92.0941,0.0,0.0,0.0,0.0,0.0
strand,P37745,0.41621621621621624,95.09113513513513,0.0,0.005405405405405406,-0.005405405405405406,0.0,0.0
strand,B2RHG4,0.3783783783783784,85.46474474474475,0.006006006006005982,0.006006006006005982,0.0,-0.02102102102102102,0.01501501501501501
strand,Q51705,0.36098310291858676,82.47838709677418,0.0,-0.0005536550658260531,0.0005536550658260531,-0.009216589861751168,0.009216589861751112
strand,A0A0A8IDB7,0.36022253129346316,83.56500695410293,-0.0009992303225893617,-0.0036765702906776387,0.002677339968088277,-0.011280885958499146,0.012280116281088493
strand,A5HNV6,0.35714285714285715,80.46540372670808,0.0,-0.003105590062111807,0.003105590062111807,0.0,0.0
strand,Q8WVJ2,0.33121019108280253,70.83566878980892,0.0,0.0,0.0,-0.03821656050955413,0.03821656050955413
strand,P18467,0.31868131868131866,76.80780219780219,-0.0073260073260073,0.0,-0.0073260073260073,-0.043956043956043966,0.05128205128205121
strand,Q9HDC9,0.31490384615384615,88.17257211538461,0.0,0.0,0.0,-0.028846153846153827,0.028846153846153855
strand,Q8TDP1,0.3048780487804878,64.8510975609756,0.0,0.0,0.0,-0.03048780487804878,0.030487804878048808
strand_sae,Q96P53,0.4675,92.0941,-0.0025000000000000022,0.0024999999999999467,-0.004999999999999949,0.0,0.0025000000000000022
strand_sae,P37745,0.41621621621621624,95.09113513513513,0.0,0.005405405405405406,-0.005405405405405406,0.0,0.0
strand_sae,B2RHG4,0.3783783783783784,85.46474474474475,0.012012012012011963,0.006006006006005982,0.006006006006005982,0.009009009009009,-0.02102102102102099
strand_sae,Q51705,0.36098310291858676,82.47838709677418,-0.0004284033808363841,-0.0005536550658260531,0.000125251684989669,0.01901069588330387,-0.018582292502467457
strand_sae,A0A0A8IDB7,0.36022253129346316,83.56500695410293,-0.003278086849018702,-0.004172461752433965,0.0008943749034152626,-0.005648276927831868,0.008926363776850521
strand_sae,A5HNV6,0.35714285714285715,80.46540372670808,0.0019902697921273527,-0.003105590062111807,0.00509585985423916,-0.0006730380939561076,-0.0013172316981713283
strand_sae,Q8WVJ2,0.33121019108280253,70.83566878980892,0.0,0.0,0.0,-0.03821656050955413,0.03821656050955413
strand_sae,P18467,0.31868131868131866,76.80780219780219,0.0,0.0,0.0,0.00366300366300365,-0.00366300366300365
strand_sae,Q9HDC9,0.31490384615384615,88.17257211538461,0.0,0.0,0.0,0.0,0.0
strand_sae,Q8TDP1,0.3048780487804878,64.8510975609756,-0.0060975609756097615,0.0,-0.0060975609756097615,0.012195121951219523,-0.0060975609756097615
